[1/2/2015 - 23:1:57] | Igrac: Vito_Vercetti | ID: 1 | IP: 25.169.233.103
[7/2/2015 - 0:58:9] | Igrac: Johnny_Nelsone | ID: 0 | IP: 127.0.0.1
[12/4/2015 - 20:37:29] | Igrac: Carbon_Boss | ID: 0 | IP: 25.145.80.208
[12/4/2015 - 23:10:32] | Igrac: Kicone_Groff | ID: 0 | IP: 25.148.130.70
[23/4/2015 - 23:14:34] | Igrac: Rajcha_Makaveli | ID: 1 | IP: 109.245.67.233
[23/4/2015 - 23:16:23] | Igrac: Vito_Vercetti | ID: 0 | IP: 217.16.134.134
[10/5/2015 - 18:44:41] | Igrac: Stefan_Ristic | ID: 1 | IP: 178.220.67.15
[10/5/2015 - 18:46:18] | Igrac: Pedja_Montana | ID: 4 | IP: 178.220.40.80
[10/5/2015 - 18:48:29] | Igrac: Savke_Montana | ID: 2 | IP: 79.101.70.28
[10/5/2015 - 18:48:55] | Igrac: Mr_Boss | ID: 0 | IP: 77.239.28.1
[10/5/2015 - 18:52:9] | Igrac: Kenan_Shadow | ID: 5 | IP: 37.203.127.10
[10/5/2015 - 19:1:21] | Igrac: Brad_Caballero | ID: 6 | IP: 176.108.61.169
[10/5/2015 - 19:23:27] | Igrac: Peckula_Montana | ID: 1 | IP: 178.220.40.80
[10/5/2015 - 19:26:46] | Igrac: Joca_Boss | ID: 4 | IP: 178.149.135.205
[14/5/2015 - 22:58:28] | Igrac: Johnny_Nelsons | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 10:20:48] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 10:42:52] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 10:51:10] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 12:23:27] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 12:33:45] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 12:36:12] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[7/6/2015 - 17:1:37] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[8/6/2015 - 17:4:41] | Igrac: Nate_Diazzzz | ID: 0 | IP: 127.0.0.1
[8/6/2015 - 17:9:52] | Igrac: Nate_Diaz | ID: 0 | IP: 127.0.0.1
[9/6/2015 - 13:29:12] | Igrac: Nate_Diazaasd | ID: 0 | IP: 127.0.0.1
[9/6/2015 - 13:37:26] | Igrac: Nate_Diazaaasd | ID: 0 | IP: 127.0.0.1
[17/8/2015 - 21:56:19] | Igrac: Test_Ime | ID: 0 | IP: 127.0.0.1
[18/8/2015 - 9:26:45] | Igrac: Nate_Diazasdfg | ID: 0 | IP: 127.0.0.1
[18/8/2015 - 9:51:14] | Igrac: Barons_Joe | ID: 0 | IP: 127.0.0.1
[19/8/2015 - 16:54:40] | Igrac: Baba_Vanga | ID: 0 | IP: 127.0.0.1
[19/8/2015 - 22:13:49] | Igrac: Nate_Diazasgda | ID: 0 | IP: 127.0.0.1
[20/8/2015 - 10:38:17] | Igrac: Nate_Diazrtyuio | ID: 0 | IP: 127.0.0.1
[20/8/2015 - 11:10:36] | Igrac: Nate_Diazrtyuioa | ID: 0 | IP: 127.0.0.1
